9,157,1,1,1
2,139,1,1,3
9,126,1,1,5
10,102,1,1,7
1,88,1,1,9
3,82,1,1,11
1,76,1,1,13
12,134,1,2,1
7,110,1,2,3
5,96,1,2,5
10,86,1,2,7
4,66,1,2,9
3,59,1,2,11
4,51,1,2,13
42,212,1,3,1
26,136,1,3,3
12,90,1,3,5
10,64,1,3,7
5,47,1,3,9
4,39,1,3,11
1,29,1,3,13
5,77,2,1,1
2,68,2,1,3
3,63,2,1,5
2,55,2,1,7
2,50,2,1,9
2,45,2,1,11
2,42,2,1,13
4,71,2,2,1
3,63,2,2,3
5,58,2,2,5
4,42,2,2,7
2,35,2,2,9
1,32,2,2,11
4,28,2,2,13
28,130,2,3,1
19,72,2,3,3
10,42,2,3,5
5,21,2,3,7
0,14,2,3,9
3,13,2,3,11
2,7,2,3,13
1,21,3,1,1
1,17,3,1,3
1,14,3,1,5
1,12,3,1,7
0,10,3,1,9
1,8,3,1,11
0,6,3,1,13
1,22,3,2,1
1,18,3,2,3
3,14,3,2,5
1,10,3,2,7
0,8,3,2,9
0,8,3,2,11
2,6,3,2,13
19,101,3,3,1
11,63,3,3,3
7,43,3,3,5
6,32,3,3,7
3,21,3,3,9
3,14,3,3,11
3,10,3,3,13
